Company, Position, Location, URL
㈜비주얼,[경력/7년이상] 주얼리 플랫폼 `아몬즈` 백엔드 개발자 채용,서울 강남구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40535509?Oem_Code=C1&logpath=1&stext=nestjs&listno=14
미래비즈코리아㈜,함께 개발 문화를 만들어 나가며 성장해나갈 백엔드 개발자분을 찾습니다,서울 금천구,https://www.jobkorea.co.kr/Recruit/GI_Read/40531346?Oem_Code=C1&logpath=1&stext=nestjs&listno=15
웨인힐스벤처스,풀스택  백엔드 개발자 구합니다.,서울 강남구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40121318?Oem_Code=C1&logpath=1&stext=nestjs&listno=16
㈜유닛미,[모티너스][신규프로젝트] Next.js 기반 프론트엔드 개발자,서울 중구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40485137?Oem_Code=C1&logpath=1&stext=nestjs&listno=17
㈜유닛미,[모티너스][신규프로젝트] 백엔드(Kotlin  Spring  JPA) 개발자,서울 중구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40485073?Oem_Code=C1&logpath=1&stext=nestjs&listno=18
㈜코디얼,(주)코디얼 대외협력사업부 신입/경력 개발자 모집,서울 강서구,https://www.jobkorea.co.kr/Recruit/GI_Read/40468772?Oem_Code=C1&logpath=1&stext=nestjs&listno=19
㈜한국공교육원,[한국공교육원] 백엔드 개발자 채용,서울 송파구,https://www.jobkorea.co.kr/Recruit/GI_Read/40449493?Oem_Code=C1&logpath=1&stext=nestjs&listno=20
㈜듀오플,(주)듀오플 백엔드 개발자 경력 채용,서울 금천구,https://www.jobkorea.co.kr/Recruit/GI_Read/40410920?Oem_Code=C1&logpath=1&stext=nestjs&listno=21
㈜식파마,Senior React.js Front-end / Node.js Back-end Developer,서울 마포구,https://www.jobkorea.co.kr/Recruit/GI_Read/40406797?Oem_Code=C1&logpath=1&stext=nestjs&listno=22
와일트루,[디지털일자리] 1인 미디어에 관심있는 개발자 인재를 찾습니다,부산 금정구,https://www.jobkorea.co.kr/Recruit/GI_Read/40381464?Oem_Code=C1&logpath=1&stext=nestjs&listno=23
㈜ 9시뉴스,백엔드(Node.js) 개발자를 모집합니다.,서울 금천구,https://www.jobkorea.co.kr/Recruit/GI_Read/40380646?Oem_Code=C1&logpath=1&stext=nestjs&listno=24
㈜유니코아,프론트엔드 웹 개발자,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/40360490?Oem_Code=C1&logpath=1&stext=nestjs&listno=25
㈜맥스트,서버/백엔드/프론트엔드 개발자 채용 (신입/경력),서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40308332?Oem_Code=C1&logpath=1&stext=nestjs&listno=26
㈜문토(munto),[문토] 프론트엔드 개발자를 찾습니다. (경력),서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40302786?Oem_Code=C1&logpath=1&stext=nestjs&listno=27
㈜플랜더블,[플랜더블] 개발자 / Back-end 채용 공고,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40295714?Oem_Code=C1&logpath=1&stext=nestjs&listno=28
㈜벳플레이스,벳플레이스에서 백엔드 개발자님을 모십니다.,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40282788?Oem_Code=C1&logpath=1&stext=nestjs&listno=29
㈜문토(munto),[문토] Node.js 서버 개발자를 찾습니다. (경력),서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40177405?Oem_Code=C1&logpath=1&stext=nestjs&listno=30
㈜문토(munto),[문토] Flutter 개발자를 찾습니다. (경력),서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40177404?Oem_Code=C1&logpath=1&stext=nestjs&listno=31
㈜에이블랩스(ABLE Labs Inc.),소프트웨어 엔지니어(UI/UX  API  PC Client  Server Back-end  Vision) 각 부분 채용,인천 연수구,https://www.jobkorea.co.kr/Recruit/GI_Read/40098534?Oem_Code=C1&logpath=1&stext=nestjs&listno=32
빅웨이브로보틱스,[로봇 자동화 플랫폼] 부문별 대규모 채용 (신입/경력),서울 강남구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40080523?Oem_Code=C1&logpath=1&stext=nestjs&listno=33
㈜레인포컴퍼니,백엔드 개발자 경력 채용,서울 강남구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40094593?Oem_Code=C1&logpath=1&stext=nestjs&listno=34
이마고웍스,데이터 파이프라인 개발자,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40067249?Oem_Code=C1&logpath=1&stext=nestjs&listno=35
스이드㈜,중등챔스 백엔드 개발자 채용,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40055659?Oem_Code=C1&logpath=1&stext=nestjs&listno=36
티키타카랩㈜,티키타카랩과 함께 성장하실 분을 찾습니다,서울 관악구,https://www.jobkorea.co.kr/Recruit/GI_Read/39756694?Oem_Code=C1&logpath=1&stext=nestjs&listno=37
㈜디젠트아이디,서버 백엔드 개발자 채용,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40553047?Oem_Code=C1&logpath=1&stext=nestjs&listno=38
㈜에이치에스88,[HS88] Back-end Developer 경력자 채용,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40538076?Oem_Code=C1&logpath=1&stext=nestjs&listno=39
㈜에픽라이언즈,프론트엔드 (신입/경력),서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40509193?Oem_Code=C1&logpath=1&stext=nestjs&listno=40
㈜베리스토어,[베리스토어] 플랫폼개발 경력직 채용,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40500624?Oem_Code=C1&logpath=1&stext=nestjs&listno=41
㈜블라블라이엔엠,[블라블라ENM] 각 부문 신입 및 경력 모집,서울 서초구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40414409?Oem_Code=C1&logpath=1&stext=nestjs&listno=42
㈜에스디몰,에스디몰  웹/앱 개발자 모집(경렵 및 신입),경기 안양시 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40342686?Oem_Code=C1&logpath=1&stext=nestjs&listno=43
㈜미스고,[입사축하금] 미스고 백엔드 개발자 채용 - 주거안정비 지원,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40338503?Oem_Code=C1&logpath=1&stext=nestjs&listno=44
㈜알차다,(강서구/마곡/경력) 백엔드 개발자를 모집합니다,서울 강서구,https://www.jobkorea.co.kr/Recruit/GI_Read/40234537?Oem_Code=C1&logpath=1&stext=nestjs&listno=45
아이엠에스모빌리티㈜,[IMS모빌리티] 백엔드 개발자 경력직 채용,서울 광진구,https://www.jobkorea.co.kr/Recruit/GI_Read/40069356?Oem_Code=C1&logpath=1&stext=nestjs&listno=46
아우토크립트㈜,[경력직]백엔드/JAVA 개발자 채용,서울 영등포구,https://www.jobkorea.co.kr/Recruit/GI_Read/39884997?Oem_Code=C1&logpath=1&stext=nestjs&listno=47
전능아이티㈜,[smartdoctor]병원용 솔루션 산업기능요원(병특) 개발자 채용,서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/39893819?Oem_Code=C1&logpath=1&stext=nestjs&listno=48
㈜에임드,반려동물 산책앱 (피리부는 강아지) 백엔드 개발 (5년이상),서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/39885732?Oem_Code=C1&logpath=1&stext=nestjs&listno=49
중소기업(300명이하),[코스닥 IT 상장사] 백엔드 개발자,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40517904?PageGbn=HH&logpath=1&stext=nestjs&listno=50
벤처기업,BackEnd 개발(3년이상),서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/40511911?PageGbn=HH&logpath=1&stext=nestjs&listno=51
벤처기업,BackEnd 개발(2년이상),서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/40367415?PageGbn=HH&logpath=1&stext=nestjs&listno=52
벤처기업,[Backend 개발 - 탑티어 블록체인 스타트업] 주2회 재택  처우 및 복지 최상,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40076509?PageGbn=HH&logpath=1&stext=nestjs&listno=53
벤처기업,BackEnd 개발(2년 이상  직급 협의),서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/39796462?PageGbn=HH&logpath=1&stext=nestjs&listno=54
중견기업(300명이상),[글로벌 임플란트 중견기업] 풀스택/프론트엔드/벡엔드 SW개발,경기 전지역,https://www.jobkorea.co.kr/Recruit/GI_Read/40458800?PageGbn=HH&logpath=1&stext=nestjs&listno=55
중소기업(300명이하),유명 벤처기업 백엔드 개발자,서울 송파구,https://www.jobkorea.co.kr/Recruit/GI_Read/40437484?PageGbn=HH&logpath=1&stext=nestjs&listno=56
중소기업(300명이하),Backend Engineer,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40221021?PageGbn=HH&logpath=1&stext=nestjs&listno=57
중소기업(300명이하),[디지털 헬스케어기업] MLOps Engineer  (강남),서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40164684?PageGbn=HH&logpath=1&stext=nestjs&listno=58
중소기업(300명이하),[용인] 반도체 자동화 솔루션 기업 소프트웨어개발,경기 용인시,https://www.jobkorea.co.kr/Recruit/GI_Read/40082745?PageGbn=HH&logpath=1&stext=nestjs&listno=59
중소기업(300명이하),글로벌 게임사 / 백엔드 개발자,서울 전지역,https://www.jobkorea.co.kr/Recruit/GI_Read/39814749?PageGbn=HH&logpath=1&stext=nestjs&listno=60
